utm_x,utm_y,individualCount
612004.7407478259,5459723.766952023,1
614424.9290323054,5493472.032670609,1
614812.726304083,5475018.04914835,1
628497.5068580736,5470094.792699381,1
628668.3082391438,5430893.081182858,1
628676.4843301893,5431171.316193006,1
631440.664450509,5470943.205084843,1
632127.1980463574,5470181.121585779,124
635255.4722150265,5479378.493867143,1
636090.6526638798,5472914.342043387,1
636427.4148273099,5472511.163106003,4
637041.6275594191,5476975.851834287,1
638117.3351885325,5490351.292646901,1
640409.2624828008,5487072.738299955,1
642580.407018882,5487129.1094655935,1
642640.3146581278,5437185.598313253,1
642807.8020935089,5486189.512920486,1
643154.4162394583,5437087.635196952,1
643664.2345151248,5485299.832971607,1
644086.5839758303,5484943.87781093,35
644130.4899226781,5510531.31341679,1
645313.885932403,5511308.338695772,1
645571.6976206901,5510569.906306558,118
646036.6732330006,5438645.663464627,2
646232.1047417099,5431235.955054249,1
646526.7482634626,5474996.990568569,1
647367.9382095909,5503387.321816497,1
647551.2525941681,5517298.610196688,1
648074.6349730716,5501570.962567903,1
648596.6904307564,5467454.884801678,1
649634.0582653257,5493993.133409706,1
654503.9490130605,5500804.5990039185,1
657551.8049011423,5544655.262146883,1
657585.0339466792,5494217.738417878,1
657715.4040101243,5539096.735210222,2
657803.987004631,5532909.624625573,1
657861.1371248302,5530964.165625396,1
657922.4448943152,5532056.363988325,151
658053.11427906,5527609.613686357,1
658258.7883262731,5437128.32980254,1
658459.6726299557,5527232.145793945,1
658965.2517263414,5537279.937090942,1
659456.8827124542,5528763.694594899,1
659993.8571404007,5542873.967826661,1
660159.8957064624,5537315.476228482,1
661132.2107782358,5544761.8787000505,3
661243.7600926416,5541056.581913882,1
661578.1114128407,5529939.688585614,1
662662.9100673789,5533681.031947714,1
663348.9714115995,5550392.793732843,1
663632.1004953173,5541128.999215723,1
664234.984177922,5441010.423686948,1
664576.6118812013,5533646.986291538,1
664779.4163770674,5495543.647682823,1
665065.9296429206,5533383.822486906,52
665117.0233996124,5448156.991016219,1
665509.6929615339,5518932.125942161,1
665791.7877645942,5496264.282230393,1
666194.9820944229,5520065.905541355,1
667771.8760422361,5444824.795495356,1
667884.3753377489,5441120.007393699,1
668653.9797525081,5533495.304894755,1
668910.3980066229,5537898.831371896,1
668970.8655513969,5538713.067611706,1
669231.3027916617,5537964.587688729,5
670202.9184356441,5444899.17051797,1
670486.3116776096,5523949.874014422,1
670738.6871625098,5543205.8400089685,1
671575.5076347576,5554360.930773609,1
671706.5819314288,5550284.353860646,1
671974.4164716575,5494019.5589612825,1
672027.6239530311,5459327.629495517,1
672436.4536402855,5459062.271806319,1
672827.1265920744,5552546.197889526,1
672932.1308521653,5539607.228950451,1
672947.0639954204,5548840.942254128,2
672959.6108532904,5533632.251139604,1
673373.9033278017,5452415.793948615,2
673497.3820363245,5539213.746696368,15
